1, 2, 08:56:14 18/11/2023, 08:55:15 18/11/2023
2, 10, 10:19:08 16/11/2023, 10:19:32 16/11/2023
7, 1100, 10:19:08 16/11/2023, 10:19:32 16/11/2023---id_nghi_ngo---: [1, 2]---khong co mat---: ['3', '4', '5', '6', '8', '9', '10']
