1, 1, 11:01:16 16/11/2023, 11:01:50 16/11/2023
2, 0, 10:19:08 16/11/2023, 10:19:32 16/11/2023
7, 1, 10:19:08 16/11/2023, 10:19:32 16/11/2023
,----khong co mat---: ['3', '4', '5', '6', '8', '9', '10']
