1, 3, 11:33:22 28/11/2023, 11:33:26 28/11/2023
2, 131, 10:28:05 28/11/2023, 10:28:28 28/11/2023
3, 145, 10:28:05 28/11/2023, 10:28:28 28/11/2023
4, 140, 10:28:05 28/11/2023, 10:28:28 28/11/2023

id_nghi_ngo,1
khong co mat,'5', '6', '8', '9', '10'
